Yr BP,Sr/Fe,Ti,,,,
1999.97,0.410810810810811,617,,,,
1999.78,0.374045801526718,662,,,,
1999.59,0.336860670194004,618,,,,
1999.41,0.409221902017291,608,,,,
1999.22,0.384615384615385,635,,,,
1999.03,0.450632911392405,549,,,,
1998.85,0.361832061068702,563,,,,
1998.66,0.426716141001855,714,,,,
1998.47,0.359741309620049,645,,,,
1998.29,0.370517928286853,602,,,,
1998.1,0.325705568268497,649,,,,
1997.91,0.364789849325932,659,,,,
1997.73,0.378872120730739,540,,,,
1997.54,0.379099923722349,598,,,,
1997.35,0.386091127098321,532,,,,
1997.17,0.379045996592845,621,,,,
1996.98,0.344166666666667,575,,,,
1996.79,0.385017421602787,615,,,,
1996.61,0.347169811320755,708,,,,
1996.42,0.409629044988161,503,,,,
1996.23,0.361821086261981,619,,,,
1996.05,0.341647770219199,699,,,,
1995.86,0.363380281690141,757,,,,
1995.67,0.329733621310295,716,,,,
1995.49,0.419481539670071,551,,,,
1995.3,0.354956268221574,526,,,,
1995.11,0.333800841514726,706,,,,
1994.93,0.412116679132386,777,,,,
1994.74,0.328265376641327,584,,,,
1994.55,0.411486486486487,816,,,,
1994.37,0.340843023255814,802,,,,
1994.18,0.392961876832845,811,,,,
1993.99,0.377155172413793,730,,,,
1993.81,0.433583959899749,568,,,,
1993.62,0.488821138211382,532,,,,
1993.43,0.521415270018622,566,,,,
1993.25,0.729141475211608,439,,,,
1993.06,0.726158038147139,517,,,,
1992.87,0.805436337625179,418,,,,
1992.69,0.907435508345979,491,,,,
1992.5,1.12453531598513,689,,,,
1992.31,1.03710247349823,697,,,,
1992.13,1.01572327044025,850,,,,
1991.94,1.0218023255814,925,,,,
1991.75,0.737410071942446,457,,,,
1991.57,0.540041067761807,603,,,,
1991.38,0.37079107505071,804,,,,
1991.19,0.184547784694251,2357,,,,
1991,0.112867771389922,5159,,,,
1990.82,0.100582996988917,7399,,,,
1990.63,0.0977793696275072,8397,,,,
1990.44,0.086912007280587,9238,,,,
1990.26,0.0776623950508175,9501,,,,
1990.07,0.0862778187954857,9711,,,,
1989.88,0.0856087045781154,9477,,,,
